,price,age,rep,mil,hyb,4wd,S,G,W,GX,A,X
0,164.9,4,0,4.3,1,0,1,0,0,0,0,0
1,200.3,1,0,1.4,0,0,0,1,0,0,0,0
2,167.9,5,0,5.0,1,0,1,0,0,0,0,0
3,174.9,5,0,1.3,1,0,1,0,0,0,0,0
4,224.8,1,0,0.098,0,0,0,1,0,0,0,0
5,249.9,1,0,1.6,1,1,0,1,0,0,0,0
6,233.0,1,0,0.6,1,0,0,1,0,0,0,0
7,247.1,1,0,3.0,1,0,0,0,1,0,0,0
8,156.7,4,0,10.7,1,0,0,0,1,0,0,0
9,213.8,4,0,1.2,1,0,1,0,0,0,0,0
10,202.9,1,0,1.9,0,0,0,1,0,0,0,0
11,234.9,4,0,2.3,0,0,0,0,1,0,0,0
12,237.9,4,0,4.0,1,0,0,0,1,0,0,0
13,239.8,3,0,2.8,1,0,0,0,1,0,0,0
14,185.5,3,0,1.9,0,0,1,0,0,0,0,0
15,239.9,2,0,2.9,0,0,0,0,1,0,0,0
16,284.8,0,0,0.0019,1,0,0,0,1,0,0,0
17,209.9,1,0,1.4,0,0,0,1,0,0,0,0
18,244.9,4,0,1.9,1,0,0,0,1,0,0,0
19,284.8,0,0,0.0005,1,0,0,0,1,0,0,0
20,179.5,3,0,6.8,1,1,1,0,0,0,0,0
21,231.7,3,0,3.0,1,0,0,0,1,0,0,0
22,226.8,4,0,3.6,1,0,0,0,1,0,0,0
23,229.8,4,0,3.2,1,0,0,0,1,0,0,0
24,288.1,0,0,0.0018,1,0,0,0,1,0,0,0
25,212.9,1,0,0.6,0,0,0,1,0,0,0,0
26,295.2,0,0,0.4,1,0,0,0,1,0,0,0
27,177.2,3,0,2.0,0,0,1,0,0,0,0,0
28,214.8,4,0,5.7,1,0,0,0,1,0,0,0
29,180.0,5,0,6.9,1,0,0,0,1,0,0,0
30,164.9,4,0,4.3,1,0,1,0,0,0,0,0
31,200.3,1,0,1.4,0,0,0,1,0,0,0,0
32,167.9,5,0,5.0,1,0,1,0,0,0,0,0
33,174.9,5,0,1.3,1,0,1,0,0,0,0,0
34,224.8,1,0,0.098,0,0,0,1,0,0,0,0
35,249.9,1,0,1.6,1,1,0,1,0,0,0,0
36,233.0,1,0,0.6,1,0,0,1,0,0,0,0
37,247.1,1,0,3.0,1,0,0,0,1,0,0,0
38,156.7,4,0,10.7,1,0,0,0,1,0,0,0
39,213.8,4,0,1.2,1,0,1,0,0,0,0,0
40,202.9,1,0,1.9,0,0,0,1,0,0,0,0
41,234.9,4,0,2.3,0,0,0,0,1,0,0,0
42,237.9,4,0,4.0,1,0,0,0,1,0,0,0
43,239.8,3,0,2.8,1,0,0,0,1,0,0,0
44,185.5,3,0,1.9,0,0,1,0,0,0,0,0
45,239.9,2,0,2.9,0,0,0,0,1,0,0,0
46,284.8,0,0,0.0019,1,0,0,0,1,0,0,0
47,209.9,1,0,1.4,0,0,0,1,0,0,0,0
48,244.9,4,0,1.9,1,0,0,0,1,0,0,0
49,284.8,0,0,0.0005,1,0,0,0,1,0,0,0
50,179.5,3,0,6.8,1,1,1,0,0,0,0,0
51,231.7,3,0,3.0,1,0,0,0,1,0,0,0
52,226.8,4,0,3.6,1,0,0,0,1,0,0,0
53,229.8,4,0,3.2,1,0,0,0,1,0,0,0
54,288.1,0,0,0.0018,1,0,0,0,1,0,0,0
55,212.9,1,0,0.6,0,0,0,1,0,0,0,0
56,295.2,0,0,0.4,1,0,0,0,1,0,0,0
57,177.2,3,0,2.0,0,0,1,0,0,0,0,0
58,214.8,4,0,5.7,1,0,0,0,1,0,0,0
59,180.0,5,0,6.9,1,0,0,0,1,0,0,0
60,164.9,4,0,4.3,1,0,1,0,0,0,0,0
61,200.3,1,0,1.4,0,0,0,1,0,0,0,0
62,167.9,5,0,5.0,1,0,1,0,0,0,0,0
63,174.9,5,0,1.3,1,0,1,0,0,0,0,0
64,224.8,1,0,0.098,0,0,0,1,0,0,0,0
65,249.9,1,0,1.6,1,1,0,1,0,0,0,0
66,233.0,1,0,0.6,1,0,0,1,0,0,0,0
67,247.1,1,0,3.0,1,0,0,0,1,0,0,0
68,156.7,4,0,10.7,1,0,0,0,1,0,0,0
69,213.8,4,0,1.2,1,0,1,0,0,0,0,0
70,202.9,1,0,1.9,0,0,0,1,0,0,0,0
71,234.9,4,0,2.3,0,0,0,0,1,0,0,0
72,237.9,4,0,4.0,1,0,0,0,1,0,0,0
